existingchecking	duration	credithistory	purpose	creditamount	savings	employmentsince	installmentrate	otherdebts	residencesince	property	otherinstallmentplans	housing	existingcredits	job	peopleliable	telephone	foreignworker	classification	gender
no checking account	36	existing credits paid	used car	4686	x < 100 DM	1 <= x < 4 years	2	none	2	unknown	none	for free	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
x >= 200DM	15	existing credits paid	business	2687	x < 100 DM	4 <= x < 7 years	2	none	4	soc. savings / life insurance	none	rent	1	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	12	delay	radio/tv	585	x < 100 DM	1 <= x < 4 years	4	co-applicant	4	real estate	none	rent	2	skilled employee / official	1	none	yes	1	M
no checking account	24	existing credits paid	new car	2255	unknown	x < 1 year	4	none	1	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	1	M
x < 0 DM	6	critical accnt. / other credits	new car	609	x < 100 DM	4 <= x < 7 years	4	none	3	soc. savings / life insurance	none	own	2	skilled employee / official	1	none	no	1	F
x < 0 DM	6	critical accnt. / other credits	new car	1361	x < 100 DM	x < 1 year	2	none	4	real estate	none	own	1	unskilled-resident	2	none	no	1	M
no checking account	36	critical accnt. / other credits	forniture	7127	x < 100 DM	x < 1 year	2	none	4	soc. savings / life insurance	none	rent	2	skilled employee / official	1	yes	yes	0	F
x < 0 DM	6	existing credits paid	new car	1203	100 <= x < 500 DM	x >= 7 years	3	none	2	soc. savings / life insurance	none	own	1	skilled employee / official	1	yes	yes	1	M
no checking account	6	critical accnt. / other credits	radio/tv	700	unknown	x >= 7 years	4	none	4	unknown	none	for free	2	skilled employee / official	1	none	yes	1	M
no checking account	24	critical accnt. / other credits	repairs	5507	x < 100 DM	x >= 7 years	3	none	4	unknown	none	for free	2	skilled employee / official	1	none	yes	1	M
x < 0 DM	18	existing credits paid	radio/tv	3190	x < 100 DM	1 <= x < 4 years	2	none	2	real estate	none	own	1	skilled employee / official	1	none	yes	0	F
x < 0 DM	48	no credits	forniture	7119	x < 100 DM	1 <= x < 4 years	3	none	4	unknown	none	for free	2	skilled employee / official	2	none	yes	0	M
no checking account	24	existing credits paid	used car	3488	100 <= x < 500 DM	4 <= x < 7 years	3	none	4	car or other	none	own	1	skilled employee / official	1	none	yes	1	F
0 <= x < 200 DM	18	existing credits paid	radio/tv	1113	x < 100 DM	1 <= x < 4 years	4	guarantor	4	real estate	none	own	1	unskilled-resident	2	none	yes	1	F
0 <= x < 200 DM	26	existing credits paid	used car	7966	x < 100 DM	x < 1 year	2	none	3	car or other	none	own	2	skilled employee / official	1	none	yes	1	M
no checking account	15	critical accnt. / other credits	education	1532	100 <= x < 500 DM	1 <= x < 4 years	4	none	3	car or other	none	own	1	skilled employee / official	1	none	yes	1	F
no checking account	4	critical accnt. / other credits	radio/tv	1503	x < 100 DM	4 <= x < 7 years	2	none	1	real estate	none	own	2	unskilled-resident	2	none	yes	1	M
x < 0 DM	36	existing credits paid	radio/tv	2302	x < 100 DM	1 <= x < 4 years	4	none	4	car or other	none	rent	1	skilled employee / official	1	none	yes	0	M
x < 0 DM	6	existing credits paid	new car	662	x < 100 DM	x < 1 year	3	none	4	real estate	none	own	1	unskilled-resident	2	yes	yes	1	M
0 <= x < 200 DM	36	existing credits paid	education	2273	x < 100 DM	4 <= x < 7 years	3	none	1	car or other	none	own	2	skilled employee / official	2	none	yes	1	M
0 <= x < 200 DM	15	existing credits paid	new car	2631	100 <= x < 500 DM	1 <= x < 4 years	2	none	4	car or other	none	rent	2	skilled employee / official	1	yes	yes	0	F
no checking account	12	delay	used car	1503	x < 100 DM	1 <= x < 4 years	4	none	4	real estate	none	rent	1	skilled employee / official	1	none	yes	1	M
no checking account	24	existing credits paid	radio/tv	1311	100 <= x < 500 DM	4 <= x < 7 years	4	none	3	soc. savings / life insurance	none	own	1	skilled employee / official	1	yes	yes	1	M
no checking account	24	existing credits paid	radio/tv	3105	unknown	x < 1 year	4	none	2	car or other	none	own	2	skilled employee / official	1	none	yes	1	M
x >= 200DM	21	critical accnt. / other credits	education	2319	x < 100 DM	x < 1 year	2	none	1	car or other	none	rent	1	skilled employee / official	1	none	yes	0	M
x < 0 DM	6	existing credits paid	new car	1374	unknown	unemployed	4	none	3	soc. savings / life insurance	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	F
0 <= x < 200 DM	18	critical accnt. / other credits	forniture	3612	x < 100 DM	x >= 7 years	3	none	4	soc. savings / life insurance	none	own	1	skilled employee / official	1	yes	yes	1	F
x < 0 DM	48	existing credits paid	new car	7763	x < 100 DM	x >= 7 years	4	none	4	unknown	bank	for free	1	management / self-employed / highly qualified employee / officer	1	none	yes	0	M
x >= 200DM	18	existing credits paid	forniture	3049	x < 100 DM	x < 1 year	1	none	1	soc. savings / life insurance	stores	own	1	unskilled-resident	1	none	yes	1	F
0 <= x < 200 DM	12	existing credits paid	radio/tv	1534	x < 100 DM	x < 1 year	1	none	1	real estate	none	rent	1	skilled employee / official	1	none	yes	0	M
no checking account	24	delay	new car	2032	x < 100 DM	x >= 7 years	4	none	4	unknown	none	for free	2	skilled employee / official	1	yes	yes	1	M
x < 0 DM	30	existing credits paid	forniture	6350	unknown	x >= 7 years	4	none	4	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	0	M
x >= 200DM	18	existing credits paid	forniture	2864	x < 100 DM	1 <= x < 4 years	2	none	1	real estate	none	own	1	unskilled-resident	2	none	yes	0	M
no checking account	12	critical accnt. / other credits	new car	1255	x < 100 DM	x >= 7 years	4	none	4	real estate	none	own	2	unskilled-resident	1	none	yes	1	M
x < 0 DM	24	delay	new car	1333	x < 100 DM	unemployed	4	none	2	real estate	none	for free	2	skilled employee / official	2	none	yes	0	M
no checking account	24	critical accnt. / other credits	new car	2022	x < 100 DM	1 <= x < 4 years	4	none	4	car or other	none	own	1	skilled employee / official	1	yes	yes	1	F
no checking account	24	existing credits paid	radio/tv	1552	x < 100 DM	4 <= x < 7 years	3	none	1	car or other	bank	own	1	skilled employee / official	2	none	yes	1	M
x < 0 DM	12	all credits paid	radio/tv	626	x < 100 DM	1 <= x < 4 years	4	none	4	real estate	bank	own	1	unskilled-resident	1	none	yes	0	F
no checking account	48	critical accnt. / other credits	used car	8858	unknown	4 <= x < 7 years	2	none	1	unknown	none	for free	2	skilled employee / official	1	yes	yes	1	M
no checking account	12	critical accnt. / other credits	repairs	996	unknown	4 <= x < 7 years	4	none	4	real estate	none	own	2	skilled employee / official	1	none	yes	1	F
no checking account	6	all credits paid	radio/tv	1750	500 <= x < 1000 DM	x >= 7 years	2	none	4	soc. savings / life insurance	bank	own	1	unskilled-resident	2	none	yes	1	M
x < 0 DM	48	existing credits paid	radio/tv	6999	x < 100 DM	4 <= x < 7 years	1	guarantor	1	real estate	none	own	2	skilled employee / official	1	yes	yes	0	M
0 <= x < 200 DM	12	critical accnt. / other credits	new car	1995	100 <= x < 500 DM	x < 1 year	4	none	1	car or other	none	own	1	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	9	existing credits paid	education	1199	x < 100 DM	4 <= x < 7 years	4	none	4	soc. savings / life insurance	none	own	2	management / self-employed / highly qualified employee / officer	1	yes	yes	1	F
0 <= x < 200 DM	12	existing credits paid	radio/tv	1331	x < 100 DM	x < 1 year	2	none	1	car or other	stores	own	1	skilled employee / official	1	none	yes	0	M
0 <= x < 200 DM	18	no credits	new car	2278	100 <= x < 500 DM	x < 1 year	3	none	3	car or other	none	own	2	skilled employee / official	1	none	yes	0	F
no checking account	21	no credits	new car	5003	unknown	1 <= x < 4 years	1	none	4	soc. savings / life insurance	bank	own	2	skilled employee / official	1	yes	yes	0	F
x < 0 DM	24	all credits paid	forniture	3552	x < 100 DM	4 <= x < 7 years	3	none	4	car or other	bank	own	1	skilled employee / official	1	none	yes	0	M
0 <= x < 200 DM	18	critical accnt. / other credits	forniture	1928	x < 100 DM	x < 1 year	2	none	2	real estate	none	own	2	unskilled-resident	1	none	yes	0	M
x < 0 DM	24	existing credits paid	used car	2964	unknown	x >= 7 years	4	none	4	unknown	bank	for free	1	skilled employee / official	2	yes	yes	1	M
x < 0 DM	24	all credits paid	radio/tv	1546	x < 100 DM	4 <= x < 7 years	4	guarantor	4	car or other	bank	rent	1	unskilled-resident	1	none	yes	0	M
x >= 200DM	6	delay	radio/tv	683	x < 100 DM	x < 1 year	2	none	1	soc. savings / life insurance	bank	own	1	skilled employee / official	1	none	yes	1	F
0 <= x < 200 DM	36	existing credits paid	new car	12389	unknown	1 <= x < 4 years	1	none	4	unknown	none	for free	1	skilled employee / official	1	yes	yes	0	M
0 <= x < 200 DM	24	delay	business	4712	unknown	1 <= x < 4 years	4	none	2	soc. savings / life insurance	bank	own	2	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
0 <= x < 200 DM	24	delay	radio/tv	1553	100 <= x < 500 DM	4 <= x < 7 years	3	none	2	soc. savings / life insurance	none	rent	2	skilled employee / official	1	yes	yes	1	F
x < 0 DM	12	existing credits paid	new car	1372	x < 100 DM	4 <= x < 7 years	2	none	3	car or other	none	own	1	skilled employee / official	1	none	yes	0	M
no checking account	24	critical accnt. / other credits	radio/tv	2578	x >= 1000 DM	x >= 7 years	2	none	2	car or other	none	own	1	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	48	existing credits paid	radio/tv	3979	unknown	4 <= x < 7 years	4	none	1	car or other	none	own	2	skilled employee / official	2	yes	yes	1	M
x < 0 DM	48	existing credits paid	radio/tv	6758	x < 100 DM	1 <= x < 4 years	3	none	2	car or other	none	own	1	skilled employee / official	1	yes	yes	0	F
x < 0 DM	24	existing credits paid	forniture	3234	x < 100 DM	x < 1 year	4	none	4	real estate	none	rent	1	unskilled-resident	1	yes	yes	0	F
no checking account	30	critical accnt. / other credits	radio/tv	5954	x < 100 DM	4 <= x < 7 years	3	co-applicant	2	car or other	none	own	1	skilled employee / official	1	none	yes	1	M
no checking account	24	existing credits paid	used car	5433	unknown	unemployed	2	none	4	soc. savings / life insurance	none	rent	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	F
x < 0 DM	15	existing credits paid	business	806	x < 100 DM	1 <= x < 4 years	4	none	4	soc. savings / life insurance	none	own	1	unskilled-resident	1	none	yes	1	F
0 <= x < 200 DM	9	existing credits paid	radio/tv	1082	x < 100 DM	x >= 7 years	4	none	4	car or other	none	own	2	unskilled-resident	1	none	yes	1	M
no checking account	15	critical accnt. / other credits	forniture	2788	x < 100 DM	4 <= x < 7 years	2	co-applicant	3	car or other	bank	own	2	skilled employee / official	1	none	yes	1	F
0 <= x < 200 DM	12	existing credits paid	radio/tv	2930	x < 100 DM	4 <= x < 7 years	2	none	1	real estate	none	own	1	skilled employee / official	1	none	yes	1	F
no checking account	24	critical accnt. / other credits	education	1927	unknown	1 <= x < 4 years	3	none	2	car or other	none	own	2	skilled employee / official	1	yes	yes	1	F
0 <= x < 200 DM	36	critical accnt. / other credits	new car	2820	x < 100 DM	x < 1 year	4	none	4	car or other	none	own	2	skilled employee / official	1	none	yes	0	M
no checking account	24	existing credits paid	retraining	937	x < 100 DM	x < 1 year	4	none	3	car or other	none	own	2	unskilled-resident	1	none	yes	1	M
0 <= x < 200 DM	18	critical accnt. / other credits	new car	1056	x < 100 DM	x >= 7 years	3	guarantor	3	real estate	bank	own	2	skilled employee / official	1	none	yes	0	M
0 <= x < 200 DM	12	critical accnt. / other credits	new car	3124	x < 100 DM	x < 1 year	1	none	3	real estate	bank	own	2	unskilled-resident	2	none	yes	1	M
no checking account	9	existing credits paid	forniture	1388	x < 100 DM	1 <= x < 4 years	4	none	2	real estate	none	rent	1	skilled employee / official	1	none	yes	1	F
0 <= x < 200 DM	36	existing credits paid	repairs	2384	x < 100 DM	x < 1 year	4	none	1	unknown	none	rent	1	unskilled-resident	1	none	yes	0	M
no checking account	12	existing credits paid	new car	2133	unknown	x >= 7 years	4	none	4	unknown	none	for free	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	F
x < 0 DM	18	existing credits paid	forniture	2039	x < 100 DM	1 <= x < 4 years	1	none	4	real estate	bank	rent	1	skilled employee / official	1	none	yes	0	F
x < 0 DM	9	critical accnt. / other credits	new car	2799	x < 100 DM	1 <= x < 4 years	2	none	2	real estate	none	rent	2	skilled employee / official	2	none	yes	1	M
x < 0 DM	12	existing credits paid	forniture	1289	x < 100 DM	1 <= x < 4 years	4	guarantor	1	soc. savings / life insurance	none	own	1	unskilled-resident	1	none	yes	1	M
x < 0 DM	18	existing credits paid	appliances	1217	x < 100 DM	1 <= x < 4 years	4	none	3	real estate	none	own	1	unskilled-resident	1	yes	yes	0	M
x < 0 DM	12	critical accnt. / other credits	forniture	2246	x < 100 DM	x >= 7 years	3	none	3	soc. savings / life insurance	none	own	2	skilled employee / official	1	none	yes	0	M
x < 0 DM	12	critical accnt. / other credits	radio/tv	385	x < 100 DM	4 <= x < 7 years	4	none	3	real estate	none	own	4	unskilled-resident	1	yes	yes	1	F
0 <= x < 200 DM	24	delay	new car	1965	unknown	1 <= x < 4 years	4	none	4	car or other	none	rent	2	skilled employee / official	1	yes	yes	1	F
no checking account	21	existing credits paid	business	1572	x >= 1000 DM	x >= 7 years	4	none	4	real estate	bank	own	1	unskilled-resident	1	none	yes	1	F
0 <= x < 200 DM	24	existing credits paid	new car	2718	x < 100 DM	1 <= x < 4 years	3	none	4	soc. savings / life insurance	none	rent	1	unskilled-resident	1	yes	yes	0	F
x < 0 DM	24	all credits paid	others	1358	unknown	x >= 7 years	4	none	3	car or other	stores	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	0	M
0 <= x < 200 DM	6	all credits paid	new car	931	100 <= x < 500 DM	x < 1 year	1	none	1	soc. savings / life insurance	stores	own	1	unskilled-resident	1	none	yes	0	F
x < 0 DM	24	existing credits paid	new car	1442	x < 100 DM	4 <= x < 7 years	4	none	4	car or other	none	rent	2	skilled employee / official	1	none	yes	0	F
0 <= x < 200 DM	24	no credits	business	4241	x < 100 DM	1 <= x < 4 years	1	none	4	real estate	none	own	3	unskilled-resident	1	yes	yes	0	M
no checking account	18	critical accnt. / other credits	new car	2775	x < 100 DM	4 <= x < 7 years	2	none	2	soc. savings / life insurance	bank	own	2	skilled employee / official	1	none	yes	0	M
no checking account	24	delay	business	3863	x < 100 DM	1 <= x < 4 years	1	none	2	unknown	none	for free	1	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	7	existing credits paid	radio/tv	2329	x < 100 DM	x < 1 year	1	guarantor	1	real estate	none	own	1	skilled employee / official	1	none	yes	1	F
0 <= x < 200 DM	9	existing credits paid	forniture	918	x < 100 DM	1 <= x < 4 years	4	none	1	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	0	F
0 <= x < 200 DM	24	all credits paid	education	1837	x < 100 DM	4 <= x < 7 years	4	none	4	unknown	bank	for free	1	unskilled-resident	1	none	yes	0	F
no checking account	36	existing credits paid	forniture	3349	x < 100 DM	1 <= x < 4 years	4	none	2	car or other	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	0	F
x >= 200DM	10	existing credits paid	forniture	1275	x < 100 DM	x < 1 year	4	none	2	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	1	F
x < 0 DM	24	all credits paid	forniture	2828	500 <= x < 1000 DM	1 <= x < 4 years	4	none	4	real estate	stores	own	1	skilled employee / official	1	yes	yes	1	M
no checking account	24	critical accnt. / other credits	business	4526	x < 100 DM	1 <= x < 4 years	3	none	2	real estate	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
0 <= x < 200 DM	36	existing credits paid	radio/tv	2671	100 <= x < 500 DM	1 <= x < 4 years	4	co-applicant	4	unknown	none	for free	1	skilled employee / official	1	none	yes	0	F
no checking account	18	existing credits paid	radio/tv	2051	x < 100 DM	x < 1 year	4	none	1	real estate	none	own	1	skilled employee / official	1	none	yes	1	M
no checking account	15	existing credits paid	used car	1300	unknown	x >= 7 years	4	none	4	unknown	bank	for free	1	skilled employee / official	2	none	yes	1	M
x < 0 DM	12	existing credits paid	appliances	741	100 <= x < 500 DM	unemployed	4	none	3	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	0	F
x >= 200DM	10	existing credits paid	new car	1240	100 <= x < 500 DM	x >= 7 years	1	none	4	unknown	none	for free	1	unskilled-resident	2	none	yes	0	F
x < 0 DM	21	existing credits paid	radio/tv	3357	x >= 1000 DM	x < 1 year	4	none	2	car or other	bank	own	1	skilled employee / official	1	none	yes	1	F
x < 0 DM	24	all credits paid	used car	3632	x < 100 DM	1 <= x < 4 years	1	guarantor	4	car or other	bank	rent	1	skilled employee / official	1	none	no	1	F
no checking account	18	delay	forniture	1808	x < 100 DM	4 <= x < 7 years	4	none	1	real estate	none	own	1	skilled employee / official	1	none	yes	0	F
0 <= x < 200 DM	48	no credits	business	12204	unknown	1 <= x < 4 years	2	none	2	car or other	bank	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
0 <= x < 200 DM	60	delay	radio/tv	9157	unknown	1 <= x < 4 years	2	none	2	unknown	none	for free	1	management / self-employed / highly qualified employee / officer	1	none	yes	1	M
x < 0 DM	6	critical accnt. / other credits	new car	3676	x < 100 DM	1 <= x < 4 years	1	none	3	real estate	none	rent	3	skilled employee / official	2	none	yes	1	M
0 <= x < 200 DM	30	existing credits paid	forniture	3441	100 <= x < 500 DM	1 <= x < 4 years	2	co-applicant	4	car or other	none	rent	1	skilled employee / official	1	none	yes	0	F
no checking account	12	existing credits paid	new car	640	x < 100 DM	1 <= x < 4 years	4	none	2	real estate	none	own	1	unskilled-resident	1	none	yes	1	M
0 <= x < 200 DM	21	critical accnt. / other credits	business	3652	x < 100 DM	4 <= x < 7 years	2	none	3	soc. savings / life insurance	none	own	2	skilled employee / official	1	none	yes	1	M
no checking account	18	critical accnt. / other credits	new car	1530	x < 100 DM	1 <= x < 4 years	3	none	2	soc. savings / life insurance	bank	own	2	skilled employee / official	1	none	yes	0	M
no checking account	48	existing credits paid	business	3914	unknown	1 <= x < 4 years	4	none	2	real estate	bank	own	1	skilled employee / official	1	none	yes	0	M
x < 0 DM	12	existing credits paid	forniture	1858	x < 100 DM	x < 1 year	4	none	1	car or other	none	rent	1	skilled employee / official	1	none	yes	1	F
x < 0 DM	18	existing credits paid	radio/tv	2600	x < 100 DM	1 <= x < 4 years	4	none	4	unknown	none	for free	2	skilled employee / official	1	none	yes	0	M
no checking account	15	existing credits paid	radio/tv	1979	unknown	x >= 7 years	4	none	2	car or other	none	own	1	skilled employee / official	1	none	yes	1	M
x >= 200DM	6	existing credits paid	forniture	2116	x < 100 DM	1 <= x < 4 years	2	none	2	real estate	none	own	1	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	9	all credits paid	new car	1437	100 <= x < 500 DM	4 <= x < 7 years	2	none	3	unknown	none	own	1	skilled employee / official	1	none	yes	0	M
no checking account	42	critical accnt. / other credits	forniture	4042	500 <= x < 1000 DM	1 <= x < 4 years	4	none	4	real estate	none	own	2	skilled employee / official	1	yes	yes	1	M
no checking account	9	existing credits paid	education	3832	unknown	x >= 7 years	1	none	4	real estate	none	own	1	unskilled-resident	1	none	yes	1	M
x < 0 DM	24	existing credits paid	radio/tv	3660	x < 100 DM	1 <= x < 4 years	2	none	4	car or other	none	own	1	skilled employee / official	1	none	yes	1	F
x < 0 DM	18	all credits paid	forniture	1553	x < 100 DM	1 <= x < 4 years	4	none	3	car or other	bank	own	1	skilled employee / official	1	none	yes	0	M
0 <= x < 200 DM	15	existing credits paid	radio/tv	1444	unknown	x < 1 year	4	none	1	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	1	M
no checking account	9	existing credits paid	forniture	1980	x < 100 DM	x < 1 year	2	co-applicant	2	car or other	none	rent	2	skilled employee / official	1	none	yes	0	F
0 <= x < 200 DM	24	existing credits paid	new car	1355	x < 100 DM	x < 1 year	3	none	4	car or other	none	own	1	unskilled-resident	1	yes	yes	0	F
no checking account	12	existing credits paid	education	1393	x < 100 DM	x >= 7 years	4	none	4	soc. savings / life insurance	bank	own	3	skilled employee / official	2	yes	yes	1	M
no checking account	24	existing credits paid	radio/tv	1376	500 <= x < 1000 DM	4 <= x < 7 years	4	none	1	car or other	none	own	1	skilled employee / official	1	none	yes	1	F
no checking account	60	delay	radio/tv	15653	x < 100 DM	4 <= x < 7 years	2	none	4	car or other	none	own	2	skilled employee / official	1	yes	yes	1	M
no checking account	12	existing credits paid	radio/tv	1493	x < 100 DM	x < 1 year	4	none	3	car or other	none	own	1	skilled employee / official	2	none	yes	1	F
x < 0 DM	42	delay	radio/tv	4370	x < 100 DM	4 <= x < 7 years	3	none	2	soc. savings / life insurance	bank	own	2	skilled employee / official	2	yes	yes	0	M
x < 0 DM	18	existing credits paid	education	750	x < 100 DM	unemployed	4	none	1	real estate	none	own	1	unemployed / unskilled-non-resident	1	none	yes	0	F
0 <= x < 200 DM	15	existing credits paid	repairs	1308	x < 100 DM	x >= 7 years	4	none	4	car or other	none	own	2	unskilled-resident	1	none	yes	1	M
no checking account	15	existing credits paid	education	4623	100 <= x < 500 DM	1 <= x < 4 years	3	none	2	soc. savings / life insurance	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	0	M
no checking account	24	critical accnt. / other credits	radio/tv	1851	x < 100 DM	4 <= x < 7 years	4	guarantor	2	car or other	none	own	2	skilled employee / official	1	yes	yes	1	M
x < 0 DM	18	critical accnt. / other credits	radio/tv	1880	x < 100 DM	4 <= x < 7 years	4	none	1	soc. savings / life insurance	none	own	2	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
no checking account	36	delay	business	7980	unknown	x < 1 year	4	none	4	car or other	none	rent	2	skilled employee / official	1	yes	yes	0	M
x < 0 DM	30	no credits	forniture	4583	x < 100 DM	1 <= x < 4 years	2	guarantor	2	real estate	none	own	2	skilled employee / official	1	none	yes	1	M
no checking account	12	existing credits paid	new car	1386	500 <= x < 1000 DM	1 <= x < 4 years	2	none	2	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	0	F
x >= 200DM	24	existing credits paid	new car	947	x < 100 DM	4 <= x < 7 years	4	none	3	unknown	bank	for free	1	skilled employee / official	2	none	yes	0	M
x < 0 DM	12	existing credits paid	education	684	x < 100 DM	1 <= x < 4 years	4	none	4	car or other	none	rent	1	unskilled-resident	2	none	yes	0	M
x < 0 DM	48	existing credits paid	education	7476	x < 100 DM	4 <= x < 7 years	4	none	1	unknown	none	for free	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
0 <= x < 200 DM	12	existing credits paid	forniture	1922	x < 100 DM	1 <= x < 4 years	4	none	2	soc. savings / life insurance	none	own	1	unskilled-resident	1	none	yes	0	M
x < 0 DM	24	existing credits paid	new car	2303	x < 100 DM	x >= 7 years	4	co-applicant	1	real estate	none	own	1	skilled employee / official	1	none	yes	0	M
0 <= x < 200 DM	36	delay	new car	8086	100 <= x < 500 DM	x >= 7 years	2	none	4	car or other	none	own	4	management / self-employed / highly qualified employee / officer	1	yes	yes	0	M
no checking account	24	critical accnt. / other credits	used car	2346	x < 100 DM	4 <= x < 7 years	4	none	3	car or other	none	own	2	skilled employee / official	1	yes	yes	1	M
x < 0 DM	14	existing credits paid	new car	3973	x < 100 DM	unemployed	1	none	4	unknown	none	for free	1	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	12	existing credits paid	new car	888	x < 100 DM	x >= 7 years	4	none	4	car or other	bank	own	1	unskilled-resident	2	none	yes	0	M
no checking account	48	existing credits paid	radio/tv	10222	unknown	4 <= x < 7 years	4	none	3	car or other	stores	own	1	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	30	no credits	business	4221	x < 100 DM	1 <= x < 4 years	2	none	1	car or other	none	own	2	skilled employee / official	1	none	yes	1	F
0 <= x < 200 DM	18	critical accnt. / other credits	forniture	6361	x < 100 DM	x >= 7 years	2	none	1	unknown	none	own	1	skilled employee / official	1	yes	yes	1	M
x >= 200DM	12	existing credits paid	radio/tv	1297	x < 100 DM	1 <= x < 4 years	3	none	4	real estate	none	rent	1	skilled employee / official	1	none	yes	1	M
x < 0 DM	12	existing credits paid	new car	900	unknown	1 <= x < 4 years	4	none	2	car or other	none	own	1	skilled employee / official	1	none	yes	0	M
no checking account	21	existing credits paid	forniture	2241	x < 100 DM	x >= 7 years	4	none	2	real estate	none	own	2	skilled employee / official	1	none	yes	1	M
0 <= x < 200 DM	6	delay	forniture	1050	x < 100 DM	unemployed	4	none	1	soc. savings / life insurance	stores	own	2	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
x >= 200DM	6	critical accnt. / other credits	education	1047	x < 100 DM	1 <= x < 4 years	2	none	4	soc. savings / life insurance	none	own	1	unskilled-resident	1	none	yes	1	F
no checking account	24	critical accnt. / other credits	others	6314	x < 100 DM	unemployed	4	co-applicant	2	unknown	bank	own	2	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
0 <= x < 200 DM	30	all credits paid	forniture	3496	x >= 1000 DM	1 <= x < 4 years	4	none	2	car or other	stores	own	1	skilled employee / official	2	yes	yes	1	M
no checking account	48	all credits paid	business	3609	x < 100 DM	1 <= x < 4 years	1	none	1	real estate	stores	own	1	skilled employee / official	1	none	yes	1	F
x < 0 DM	12	critical accnt. / other credits	new car	4843	x < 100 DM	x >= 7 years	3	co-applicant	4	soc. savings / life insurance	none	rent	2	skilled employee / official	1	yes	yes	0	M
x >= 200DM	30	critical accnt. / other credits	radio/tv	3017	x < 100 DM	x >= 7 years	4	none	4	soc. savings / life insurance	none	own	1	skilled employee / official	1	none	yes	1	M
no checking account	24	critical accnt. / other credits	business	4139	100 <= x < 500 DM	1 <= x < 4 years	3	none	3	soc. savings / life insurance	none	own	2	unskilled-resident	1	yes	yes	1	M
no checking account	36	existing credits paid	business	5742	100 <= x < 500 DM	4 <= x < 7 years	2	none	2	car or other	none	own	2	skilled employee / official	1	yes	yes	1	M
no checking account	60	existing credits paid	new car	10366	x < 100 DM	x >= 7 years	2	none	4	soc. savings / life insurance	none	own	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	M
no checking account	6	critical accnt. / other credits	new car	2080	500 <= x < 1000 DM	1 <= x < 4 years	1	none	2	car or other	none	own	1	skilled employee / official	1	none	yes	1	M
no checking account	21	delay	business	2580	500 <= x < 1000 DM	x < 1 year	4	none	2	real estate	bank	own	1	unskilled-resident	2	none	yes	0	M
no checking account	30	critical accnt. / other credits	radio/tv	4530	x < 100 DM	4 <= x < 7 years	4	none	4	car or other	none	rent	1	management / self-employed / highly qualified employee / officer	1	yes	yes	1	F
no checking account	24	critical accnt. / other credits	forniture	5150	x < 100 DM	x >= 7 years	4	none	4	car or other	none	own	1	skilled employee / official	1	yes	yes	1	M
0 <= x < 200 DM	72	existing credits paid	radio/tv	5595	100 <= x < 500 DM	1 <= x < 4 years	2	none	2	car or other	none	own	1	skilled employee / official	1	none	yes	0	M
x < 0 DM	24	existing credits paid	radio/tv	2384	x < 100 DM	x >= 7 years	4	none	4	real estate	bank	rent	1	unskilled-resident	1	none	yes	1	M
no checking account	18	existing credits paid	radio/tv	1453	x < 100 DM	x < 1 year	3	none	1	real estate	none	own	1	skilled employee / official	1	none	yes	1	F
no checking account	6	existing credits paid	education	1538	x < 100 DM	x < 1 year	1	none	2	unknown	none	own	1	skilled employee / official	1	none	yes	1	F
no checking account	12	existing credits paid	radio/tv	2279	unknown	1 <= x < 4 years	4	none	4	unknown	none	for free	1	skilled employee / official	1	yes	yes	1	M
no checking account	15	delay	radio/tv	1478	x < 100 DM	1 <= x < 4 years	4	none	3	real estate	bank	own	2	skilled employee / official	1	none	yes	1	M
